NET	The total number of nets: 3153
net1	The number of pins: 66
	0,34,12
	0,45,12
	0,44,11
	0,43,15
	0,40,12
	0,24,16
	0,42,14
	0,44,16
	0,43,15
	0,49,14
	0,44,20
	0,22,16
	0,52,12
	0,43,20
	0,29,17
	0,52,12
	0,56,13
	0,55,11
	0,60,10
	0,31,24
	0,58,11
	0,59,11
	0,46,17
	0,60,9
	0,58,9
	0,59,10
	0,58,10
	0,55,9
	0,57,10
	0,57,11
	0,58,11
	0,59,9
	0,59,10
	0,58,12
	0,59,10
	0,58,11
	0,58,9
	0,59,9
	0,55,11
	0,61,10
	0,59,11
	0,59,11
	0,59,9
	0,41,25
	0,60,9
	0,61,9
	0,57,11
	0,46,25
	0,56,12
	0,56,12
	0,43,24
	0,57,13
	0,47,25
	0,47,31
	0,55,31
	0,54,35
	0,38,29
	0,35,32
	0,54,34
	0,55,33
	0,55,38
	0,56,39
	0,48,36
	0,56,39
	0,57,41
	0,56,40
net2	The number of pins: 65
	0,27,10
	0,21,15
	0,40,14
	0,42,19
	0,33,12
	0,26,12
	0,23,14
	0,42,18
	0,40,14
	0,28,11
	0,42,18
	0,42,15
	0,37,18
	0,37,18
	0,32,18
	0,28,14
	0,29,15
	0,32,18
	0,38,20
	0,30,14
	0,29,17
	0,21,23
	0,29,21
	0,39,19
	0,22,24
	0,33,22
	0,36,23
	0,36,22
	0,33,25
	0,32,29
	0,38,29
	0,30,28
	0,38,31
	0,35,30
	0,33,32
	0,40,30
	0,34,34
	0,33,31
	0,27,35
	0,34,35
	0,40,36
	0,37,33
	0,38,35
	0,41,33
	0,42,41
	0,33,39
	0,44,32
	0,40,47
	0,35,38
	0,44,38
	0,40,44
	0,45,41
	0,41,37
	0,38,41
	0,37,42
	0,39,42
	0,39,44
	0,42,45
	0,42,48
	0,40,50
	0,27,45
	0,38,47
	0,38,46
	0,36,47
	0,37,48
net3	The number of pins: 65
	0,38,12
	0,40,11
	0,36,11
	0,31,11
	0,37,13
	0,39,12
	0,37,12
	0,27,11
	0,26,11
	0,26,15
	0,26,15
	0,21,12
	0,24,15
	0,37,12
	0,33,14
	0,31,12
	0,37,15
	0,33,17
	0,35,17
	0,32,19
	0,41,21
	0,31,13
	0,26,16
	0,23,17
	0,31,22
	0,34,17
	0,43,21
	0,26,24
	0,36,24
	0,36,25
	0,33,26
	0,40,23
	0,37,26
	0,33,27
	0,33,27
	0,30,35
	0,35,34
	0,38,28
	0,40,33
	0,30,36
	0,29,36
	0,45,38
	0,39,34
	0,39,40
	0,44,38
	0,39,36
	0,45,38
	0,32,41
	0,28,39
	0,39,37
	0,22,41
	0,31,38
	0,36,42
	0,32,42
	0,30,41
	0,33,41
	0,24,40
	0,19,42
	0,36,44
	0,36,44
	0,41,41
	0,41,45
	0,36,42
	0,41,45
	0,23,42
net4	The number of pins: 60
	0,25,18
	0,11,21
	0,19,21
	0,25,22
	0,38,21
	0,29,27
	0,23,24
	0,38,24
	0,29,25
	0,22,21
	0,41,26
	0,38,27
	0,39,25
	0,30,27
	0,43,30
	0,31,34
	0,13,38
	0,29,42
	0,12,38
	0,37,40
	0,20,38
	0,27,40
	0,20,39
	0,20,38
	0,15,38
	0,21,42
	0,16,40
	0,18,39
	0,20,44
	0,22,41
	0,26,41
	0,20,43
	0,29,42
	0,27,41
	0,21,45
	0,24,46
	0,30,45
	0,31,45
	0,23,45
	0,22,43
	0,35,46
	0,12,17
	0,10,18
	0,11,18
	0,11,16
	0,11,18
	0,10,18
	0,10,18
	0,11,18
	0,14,17
	0,10,18
	0,10,16
	0,12,17
	0,11,16
	0,9,18
	0,11,18
	0,11,17
	0,11,20
	0,11,21
	0,14,16
net5	The number of pins: 60
	0,28,12
	0,25,12
	0,24,12
	0,24,14
	0,24,15
	0,46,13
	0,45,12
	0,45,12
	0,44,12
	0,29,14
	0,27,20
	0,43,12
	0,44,14
	0,35,18
	0,46,11
	0,47,13
	0,33,17
	0,47,21
	0,48,12
	0,28,17
	0,46,12
	0,48,12
	0,45,11
	0,47,11
	0,47,12
	0,46,12
	0,48,12
	0,33,24
	0,26,23
	0,47,12
	0,36,23
	0,43,23
	0,34,29
	0,32,28
	0,33,33
	0,31,35
	0,45,32
	0,34,36
	0,47,31
	0,45,38
	0,29,35
	0,48,34
	0,49,38
	0,50,38
	0,52,38
	0,51,39
	0,30,39
	0,43,40
	0,48,44
	0,51,40
	0,51,41
	0,51,41
	0,49,38
	0,48,41
	0,30,39
	0,29,41
	0,38,45
	0,31,39
	0,44,46
	0,36,45
net6	The number of pins: 59
	0,8,14
	0,7,13
	0,10,14
	0,6,13
	0,7,13
	0,7,12
	0,6,14
	0,6,14
	0,7,14
	0,7,13
	0,8,12
	0,7,14
	0,8,13
	0,7,12
	0,6,14
	0,8,12
	0,6,14
	0,6,12
	0,40,21
	0,33,16
	0,31,17
	0,41,15
	0,41,17
	0,41,15
	0,41,16
	0,27,21
	0,40,23
	0,10,18
	0,40,21
	0,2,38
	0,40,25
	0,28,25
	0,41,26
	0,22,21
	0,28,30
	0,20,34
	0,27,35
	0,26,36
	0,12,39
	0,15,39
	0,15,39
	0,20,39
	0,15,41
	0,19,39
	0,21,43
	0,13,41
	0,17,43
	0,26,41
	0,33,45
	0,19,47
	0,30,43
	0,15,43
	0,18,46
	0,31,46
	0,33,45
	0,21,47
	0,21,44
	0,23,46
	0,21,47
net7	The number of pins: 59
	0,43,12
	0,44,12
	0,39,12
	0,34,12
	0,44,12
	0,41,15
	0,36,23
	0,42,13
	0,45,14
	0,44,13
	0,42,12
	0,45,15
	0,44,17
	0,36,21
	0,46,13
	0,47,14
	0,47,15
	0,48,14
	0,48,15
	0,35,22
	0,45,13
	0,47,14
	0,46,12
	0,47,14
	0,47,14
	0,46,14
	0,46,14
	0,45,14
	0,45,12
	0,45,14
	0,44,16
	0,37,23
	0,42,31
	0,42,32
	0,45,32
	0,44,29
	0,49,39
	0,43,39
	0,48,41
	0,46,43
	0,44,36
	0,37,39
	0,36,39
	0,44,39
	0,44,35
	0,44,39
	0,45,36
	0,43,42
	0,46,41
	0,44,44
	0,43,44
	0,43,50
	0,42,44
	0,42,51
	0,43,48
	0,43,51
	0,38,51
	0,38,49
	0,38,51
net8	The number of pins: 59
	0,32,47
	0,31,47
	0,30,46
	0,62,51
	0,31,48
	0,35,48
	0,64,52
	0,63,54
	0,61,54
	0,60,57
	0,64,59
	0,63,56
	0,63,53
	0,61,57
	0,64,53
	0,64,50
	0,62,56
	0,64,54
	0,61,47
	0,64,60
	0,62,60
	0,62,59
	0,64,56
	0,60,53
	0,61,58
	0,64,48
	0,58,54
	0,61,54
	0,60,54
	0,63,54
	0,64,57
	0,61,56
	0,63,50
	0,62,59
	0,63,50
	0,60,59
	0,63,57
	0,61,57
	0,59,59
	0,64,49
	0,62,60
	0,64,54
	0,63,57
	0,64,57
	0,63,51
	0,58,57
	0,64,58
	0,60,55
	0,58,58
	0,64,55
	0,64,59
	0,60,58
	0,64,56
	0,61,51
	0,63,55
	0,61,55
	0,64,53
	0,63,47
	0,63,58
net9	The number of pins: 59
	0,58,9
	0,59,4
	0,62,7
	0,60,7
	0,63,7
	0,60,9
	0,59,8
	0,60,8
	0,61,6
	0,59,6
	0,61,5
	0,61,6
	0,63,5
	0,62,8
	0,61,12
	0,56,4
	0,59,5
	0,63,8
	0,56,3
	0,60,5
	0,63,5
	0,55,5
	0,60,4
	0,61,5
	0,62,4
	0,62,9
	0,63,6
	0,60,8
	0,63,8
	0,64,13
	0,57,4
	0,62,9
	0,54,6
	0,59,6
	0,62,8
	0,60,3
	0,62,3
	0,59,7
	0,59,8
	0,61,12
	0,63,4
	0,64,9
	0,58,5
	0,60,11
	0,56,6
	0,61,11
	0,63,6
	0,31,9
	0,33,20
	0,29,12
	0,31,11
	0,29,16
	0,30,15
	0,30,14
	0,33,15
	0,29,18
	0,47,25
	0,53,29
	0,57,28
net10	The number of pins: 59
	0,35,6
	0,35,3
	0,34,5
	0,36,6
	0,38,6
	0,36,5
	0,39,8
	0,35,3
	0,38,7
	0,39,8
	0,35,4
	0,32,5
	0,34,5
	0,31,4
	0,33,3
	0,33,4
	0,32,5
	0,36,5
	0,33,6
	0,31,3
	0,32,11
	0,33,12
	0,24,12
	0,23,13
	0,28,13
	0,33,12
	0,25,13
	0,23,12
	0,32,14
	0,34,14
	0,28,16
	0,26,16
	0,31,18
	0,29,15
	0,22,13
	0,33,18
	0,34,17
	0,31,17
	0,31,15
	0,29,17
	0,31,19
	0,37,20
	0,35,20
	0,38,24
	0,35,24
	0,39,21
	0,40,23
	0,34,24
	0,36,24
	0,32,26
	0,34,26
	0,35,25
	0,36,26
	0,31,27
	0,40,27
	0,38,26
	0,37,27
	0,40,29
	0,35,27
net11	The number of pins: 58
	0,33,11
	0,27,11
	0,25,12
	0,38,14
	0,39,14
	0,21,14
	0,39,15
	0,40,15
	0,39,15
	0,24,15
	0,37,14
	0,28,19
	0,30,12
	0,25,15
	0,30,13
	0,28,15
	0,21,14
	0,34,18
	0,41,20
	0,30,21
	0,21,18
	0,34,20
	0,18,21
	0,37,15
	0,46,21
	0,34,23
	0,37,21
	0,30,21
	0,38,26
	0,37,24
	0,44,26
	0,39,26
	0,38,30
	0,37,29
	0,30,33
	0,31,32
	0,32,39
	0,39,35
	0,40,32
	0,35,36
	0,48,38
	0,40,36
	0,31,39
	0,39,38
	0,42,39
	0,36,41
	0,43,38
	0,30,38
	0,38,39
	0,39,44
	0,37,40
	0,39,44
	0,36,41
	0,32,43
	0,32,45
	0,40,45
	0,36,44
	0,35,47
net12	The number of pins: 58
	0,26,46
	0,35,51
	0,33,50
	0,34,48
	0,27,50
	0,32,48
	0,36,52
	0,31,52
	0,31,53
	0,33,53
	0,30,51
	0,31,51
	0,35,53
	0,47,48
	0,30,52
	0,30,53
	0,28,54
	0,30,55
	0,28,55
	0,49,48
	0,44,66
	0,39,66
	0,37,66
	0,43,66
	0,45,65
	0,42,65
	0,47,65
	0,48,66
	0,45,63
	0,39,66
	0,35,66
	0,42,64
	0,47,66
	0,42,66
	0,37,65
	0,37,65
	0,48,63
	0,46,66
	0,45,66
	0,45,62
	0,49,62
	0,45,66
	0,41,66
	0,37,66
	0,40,66
	0,39,65
	0,48,66
	0,45,65
	0,48,64
	0,48,65
	0,35,66
	0,48,63
	0,35,65
	0,42,66
	0,48,65
	0,42,65
	0,44,62
	0,35,65
net13	The number of pins: 58
	0,56,43
	0,56,42
	0,56,41
	0,58,41
	0,58,44
	0,59,44
	0,48,46
	0,60,44
	0,59,43
	0,57,47
	0,58,45
	0,49,46
	0,58,47
	0,59,45
	0,48,51
	0,59,44
	0,56,47
	0,58,49
	0,50,53
	0,55,50
	0,54,51
	0,54,55
	0,51,58
	0,50,58
	0,55,47
	0,53,52
	0,55,47
	0,49,53
	0,58,57
	0,57,58
	0,55,52
	0,50,56
	0,57,57
	0,56,58
